SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,label
600,1,1,4,6,2,10,0,0,50,0,0,0,1,0000000
700,1,5,1,10,6,10,3,1,75,1,1,0,1,0110010
200,1,5,1,10,6,10,3,4,75,1,1,0,1,0110010
300,1,5,0,6,10,2,3,4,25,0,0,0,1,0010000
600,2,1,4,10,2,6,0,0,99,0,5,0,1,0111011
200,1,5,1,6,6,10,1,0,50,0,0,0,1,0000000
500,1,5,0,6,6,10,1,2,25,0,0,0,2,0010000
700,1,5,2,10,6,9,0,0,100,1,1,0,1,1101000
750,2,5,1,6,1,2,0,1,50,1,0,0,1,0110000
200,1,12,4,2,7,6,0,0,75,1,0,0,1,0110000
200,1,1,4,2,7,1,0,0,100,2,1,0,1,1000000
300,1,14,2,1,2,7,0,0,100,2,1,0,1,0110000
7000,1,1,1,2,6,10,3,3,50,1,5,0,1,1010000
1700,1,1,1,2,6,10,0,1,100,2,2,2,1,1110000
8000,1,1,3,2,10,7,0,0,100,9,9,0,1,0110000
30000,1,1,3,1,1,1,0,0,100,2,10,0,1,1111100
300,1,12,4,1,1,1,0,0,100,5,10,0,1,0110100
300,1,15,1,1,1,9,0,0,75,0,5,0,1,0110000
1600,3,1,0,2,6,2,3,1,75,2,1,0,1,1111000
3800,6,1,2,6,6,2,3,1,25,0,0,0,1,1010100
7000,6,1,1,6,10,2,3,4,50,0,0,0,1,1010000
2500,1,1,3,10,2,6,0,1,100,0,1,0,1,1010010
800,1,1,0,1,2,7,3,4,100,2,1,0,1,0110000
1700,1,1,3,10,6,2,0,0,100,0,0,0,1,0110000
300,1,1,2,7,2,10,0,0,100,5,5,2,1,1000010
4500,1,1,1,2,2,9,3,2,100,9,9,0,1,1110100
1000,1,12,4,2,2,1,0,0,100,5,9,0,1,0100000
7000,1,1,4,2,2,1,0,0,100,5,5,0,1,0001101
30000,1,1,3,2,2,1,1,0,100,5,5,0,1,1110011
7000,1,1,3,2,2,7,0,0,100,0,1,0,1,0110100
3300,1,1,3,2,1,7,0,0,100,5,5,0,1,0100100
2100,1,1,3,2,9,2,0,0,50,0,1,0,1,0000100
500,1,1,0,2,10,6,3,4,100,2,1,0,1,1100000
400,2,1,2,2,10,10,0,0,100,1,5,0,1,0100000
300,1,1,1,2,10,10,0,0,100,2,2,0,1,0110000
1100,1,1,0,2,6,10,3,4,100,2,2,0,1,0110000
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,0001000
400,1,5,1,6,2,10,1,0,75,2,0,0,1,0010101
100,1,1,2,2,6,10,0,0,100,1,1,0,1,0100000
100,1,5,1,7,2,6,3,0,100,2,1,0,1,1000000
80000,1,12,4,2,2,7,0,0,100,5,5,0,1,1001100
200,1,12,4,2,2,7,0,0,100,5,5,0,1,0011100
100,1,11,4,2,6,7,0,0,100,5,5,0,1,0010100
2500,1,1,3,7,2,9,0,0,75,0,2,0,1,0100000
31000,6,1,0,2,7,6,3,4,100,5,5,0,1,1110000
500,1,12,4,2,7,2,0,0,100,5,5,0,1,1111100
25000,5,1,0,2,9,7,3,4,75,0,0,0,1,1001000
40000,1,1,1,2,2,6,3,2,100,5,0,0,1,1101010
1900,7,12,4,2,6,7,0,0,100,5,5,0,1,1100110
30,1,1,2,2,7,6,0,0,75,0,1,0,1,0110010
4300,1,1,3,1,2,2,0,0,100,5,5,0,1,1110101
4000,1,1,3,1,1,2,0,0,100,5,5,0,1,1110000
300,1,1,4,1,2,6,0,0,99,2,2,0,1,0100000
400,1,1,2,1,7,6,0,0,100,0,1,0,1,0100010
1000,1,1,1,2,2,1,0,0,100,5,5,0,1,1111110
1500,2,2,2,7,2,6,1,2,100,5,0,0,1,0110000
300,1,14,3,7,2,1,0,0,100,5,5,0,1,1110110
600,1,1,2,7,1,10,0,0,100,2,2,0,1,0000100
28300,4,1,1,2,7,6,3,2,100,0,0,0,1,1111000
1000,1,1,0,1,6,7,3,3,75,0,0,0,1,1010000
50,1,1,2,2,7,10,0,0,100,5,5,0,1,1111000
9000,2,2,0,10,1,7,1,2,100,1,1,0,1,1010000
19300,2,1,1,2,6,1,3,3,75,2,0,0,1,1111100
100,1,1,4,2,9,1,0,0,100,1,2,0,1,1010000
3500,1,2,0,6,9,2,0,0,50,0,0,0,1,1110000
300,1,12,3,7,2,1,0,0,100,5,5,0,1,1100000
100,1,12,4,7,2,1,0,0,100,5,5,0,1,0100000
200,1,12,4,7,2,6,0,0,100,0,0,0,1,0100000
300,1,12,4,2,2,7,0,0,100,2,5,0,1,0100000
300,1,11,3,7,1,1,0,0,100,10,10,0,1,1110100
300,1,11,3,1,2,10,0,0,100,10,10,0,1,1101000
300,1,14,3,7,2,1,0,0,100,5,5,0,1,1110000
1000,1,1,2,2,7,9,0,0,75,0,0,0,1,0010000
9100,1,1,0,7,10,2,3,3,100,5,5,0,1,1000000
100,1,11,4,1,10,2,0,0,100,10,10,0,1,1110100
100,1,1,2,2,7,6,0,0,100,2,2,2,1,1000000
300,1,1,3,2,2,1,0,0,100,5,1,0,1,0001100
500,2,1,0,2,9,1,3,3,100,1,2,0,1,0010000
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,0000100
500,1,12,4,7,1,1,0,0,100,10,10,0,1,1010010
600,2,1,1,1,10,6,3,1,100,1,0,0,1,1110111
1300,1,1,0,1,10,6,3,1,100,1,1,0,1,0110000
2000,3,1,4,10,10,11,0,0,100,5,5,0,1,0110000
300,1,15,2,2,11,6,0,0,100,2,5,0,1,0110100
10050,1,1,2,1,10,6,0,1,100,5,5,0,1,0111011
9000,3,1,2,10,10,10,0,1,100,9,9,0,1,1110100
300,1,15,3,10,10,10,0,0,100,9,9,0,1,0110100
300,1,14,1,2,10,10,0,0,100,5,5,0,1,0110100
3500,1,1,2,7,6,1,0,0,100,2,2,0,1,1111010
