SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,label
30,1,1,2,2,7,6,0,0,75,0,1,0,1,0110010
1000,1,1,0,1,6,7,3,3,75,0,0,0,1,1010000
50,1,1,2,2,7,10,0,0,100,5,5,0,1,1111000
100,1,1,4,2,9,1,0,0,100,1,2,0,1,1010000
300,1,11,3,1,2,10,0,0,100,10,10,0,1,1101000
9100,1,1,0,7,10,2,3,3,100,5,5,0,1,1000000
500,2,1,0,2,9,1,3,3,100,1,2,0,1,0010000
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,0000100
500,1,12,4,7,1,1,0,0,100,10,10,0,1,1010010
10050,1,1,2,1,10,6,0,1,100,5,5,0,1,0111011
300,1,14,1,2,10,10,0,0,100,5,5,0,1,0110100
10000,1,1,3,1,10,6,0,1,100,5,5,0,1,1111111
29000,3,1,2,10,6,1,3,3,100,2,0,0,1,1111111
8250,1,1,3,6,2,10,0,0,100,1,2,0,1,1111111
250,1,7,1,1,10,6,0,0,100,2,5,0,1,1111111
300,1,15,1,2,7,2,0,0,100,1,1,0,1,0110000
500000,9,1,3,10,6,2,3,3,75,1,1,0,1,1111111
50000,10,1,4,2,10,6,0,0,100,2,2,0,1,1111111
50,1,1,1,6,10,10,0,0,50,0,0,0,1,0110100
50,1,1,2,10,10,6,0,0,100,9,5,0,1,1100000
8300,2,1,2,1,10,6,3,3,100,2,2,0,1,1110100
1800,1,1,0,10,1,6,3,2,100,1,2,0,1,1111111
150,2,1,1,1,10,6,0,1,100,0,1,0,1,1111111
300,1,15,1,10,1,6,0,0,100,1,1,0,1,0110000
300,1,15,1,10,1,6,0,0,100,1,1,0,1,0110000
450,1,1,1,10,10,10,3,3,100,5,2,0,1,1101010
300,1,15,1,1,10,6,0,0,100,5,5,0,1,1001000
200,1,1,1,6,10,1,0,0,100,1,1,0,1,1111111
300,1,15,1,1,1,1,0,0,100,5,5,0,1,0000000
300,1,15,1,1,7,1,0,0,100,2,5,0,1,0000000
6300,3,1,0,7,1,5,0,0,100,2,1,0,1,1110000
3400,2,2,0,6,7,10,0,0,75,1,1,0,1,1000010
2400,2,1,0,2,6,10,3,4,75,1,1,0,1,1000000
360000,12,1,1,10,1,7,3,4,100,1,1,0,1,1111110
4100,5,1,1,1,10,2,3,3,100,0,1,0,1,1110100
1500,3,1,1,2,1,10,3,3,100,2,2,0,1,1111110
300,1,1,3,2,1,6,0,0,100,2,1,0,1,1100000
15000,2,1,2,2,1,10,3,3,100,0,1,0,1,1110010
2500,2,1,3,2,6,10,0,0,75,0,0,0,1,1111010
2400,1,1,2,2,10,1,0,1,100,1,1,0,1,1110110
300,1,12,3,2,10,1,0,0,100,1,1,0,1,1111100
2600,2,1,2,9,2,6,3,2,50,0,1,0,1,1110000
2000,1,1,3,9,2,6,0,0,50,0,0,0,1,1110000
26000,3,1,1,1,2,10,3,4,100,1,2,0,1,1111110
200,1,1,3,2,6,5,0,0,50,1,1,1,2,1110000
2300,1,1,2,1,1,6,0,0,100,2,1,0,1,1110110
300,1,12,3,1,2,10,0,0,100,1,2,0,1,0100000
1400,1,1,1,1,2,10,0,0,100,5,5,0,1,1111110
300,1,15,1,1,1,10,0,0,100,5,5,0,1,0100000
2600,1,1,2,2,10,6,0,0,50,0,0,0,1,1110100
300,1,14,1,2,7,10,0,0,100,2,0,0,1,0111000
22000,1,1,4,6,9,6,0,0,100,0,0,0,1,1111100
300,1,12,3,10,2,1,0,0,100,2,0,0,1,0100000
300,1,12,4,1,10,2,0,0,100,5,5,0,1,0100000
1000,2,1,3,2,6,1,0,0,100,0,1,0,1,1111111
300,1,15,1,1,1,9,0,0,100,0,1,0,1,0100000
200,1,1,1,6,6,2,0,0,75,0,0,0,1,0111111
300,1,14,2,2,9,7,0,0,75,0,2,0,1,0100000
1000,1,14,2,7,1,9,0,0,75,1,2,0,1,0100000
4000,2,1,1,4,6,9,3,2,80,1,1,0,1,1110111
200,1,12,3,10,1,6,0,0,100,1,2,0,1,0110000
4000,1,12,4,2,6,10,0,0,100,1,1,0,1,0110000
2300,1,12,3,2,2,1,0,0,75,2,1,0,1,0100000
300,1,14,2,7,10,2,0,0,100,5,5,0,1,1111010
300,1,12,3,2,6,10,0,0,100,1,1,0,1,0110000
