Aspect Ratio,Solidity,Elongation,Eccentricity,Isoperimetric Factor,Maximal Indentation Depth,Lobedness,Stochastic Convexity,Third moment,Average Contrast,Class
1.1208,0.93625,0.27473,0.33254,0.49836,0.024394,0.1083,0.99474,0.0059808,0.16882,Urtica dioica
1.1316,0.54301,0.60128,0.26758,0.20311,0.15354,4.2904,0.77368,0.0014652,0.07145,Acer palmatum
6.628,0.96861,0.84928,0.98853,0.27717,0.029032,0.1534,0.97719,0.0033387,0.10283,Nerium oleander
1.1032,0.81654,0.52998,0.47815,0.33753,0.11547,2.4268,0.8193,0.00047564,0.042071,Crataegus monogyna
2.6796,0.96381,0.62862,0.91549,0.55874,0.019083,0.066276,1.0,0.012751,0.19882,Magnolia soulangeana
1.5725,0.97755,0.38998,0.76722,0.80812,0.0074573,0.010121,1.0,0.00092068,0.057445,Quercus suber
2.2045,0.97701,0.55605,0.89507,0.64214,0.0053433,0.0051962,0.99649,0.012562,0.19598,Castanea sativa
15.068,0.8807,0.93667,0.99799,0.12132,0.032164,0.18828,0.95789,0.00086356,0.054827,Pseudosasa japonica
1.4686,0.91337,0.43475,0.72162,0.60738,0.046324,0.39055,0.98596,0.0097255,0.18471,Arisarum vulgare
2.009,0.98691,0.51464,0.86755,0.70277,0.0054439,0.0053937,1.0,0.0022541,0.092063,Salix atrocinera
2.4994,0.983,0.60323,0.91186,0.64916,0.0061494,0.0068823,1.0,0.0014887,0.072486,Salix atrocinera
2.1845,0.93969,0.56922,0.87259,0.52611,0.044598,0.36199,0.99474,0.0062705,0.14227,Celtis sp.
7.142,0.96683,0.86069,0.98824,0.26951,0.021697,0.08568,0.99474,0.0023055,0.087108,Nerium oleander
1.0991,0.92405,0.33117,0.61289,0.61661,0.025545,0.11877,0.98421,0.011672,0.1606,Populus nigra
10.007,0.91594,0.90328,0.99515,0.16244,0.033129,0.19975,0.97719,0.0014641,0.070646,Pseudosasa japonica
1.8134,0.84406,0.54611,0.84315,0.49437,0.038509,0.2699,0.96667,0.0082654,0.14411,Ilex aquifolium
1.0375,0.98386,0.10761,0.29901,0.84936,0.011462,0.023912,1.0,0.0025695,0.096034,Euonymus japonicus
1.5041,0.98803,0.33723,0.71763,0.82342,0.0040421,0.0029736,1.0,0.0046629,0.12542,Corylus avellana
1.2902,0.9208,0.32454,0.51577,0.62017,0.023879,0.10378,0.99474,0.0042129,0.12228,Betula pubescens
1.7707,0.97698,0.44462,0.82301,0.75493,0.007428,0.010042,1.0,0.00055986,0.045339,Quercus suber
1.5389,0.94648,0.42639,0.7831,0.65478,0.038706,0.27266,0.97544,0.023259,0.24469,Arisarum vulgare
1.1374,0.90736,0.38458,0.44941,0.54595,0.047809,0.41601,0.97368,0.0082395,0.18608,Tilia tomentosa
10.421,0.96551,0.90385,0.99518,0.20051,0.0077228,0.010855,0.98947,0.0019168,0.080385,Pseudosasa japonica
1.2107,0.97104,0.20257,0.44567,0.80094,0.016177,0.047628,0.99123,0.0013865,0.074115,Bougainvillea sp.
1.2254,0.94269,0.41835,0.6018,0.54871,0.058835,0.62999,0.95263,0.0018797,0.074883,Erodium sp.
1.6815,0.97686,0.41383,0.78676,0.7686,0.013524,0.033289,0.99825,0.0019786,0.076334,Acca sellowiana
1.2821,0.88375,0.39683,0.55112,0.49492,0.030576,0.17015,0.99649,0.0063685,0.14621,Betula pubescens
1.0849,0.72152,0.75319,0.28064,0.13686,0.078996,1.1358,0.71404,0.012002,0.2183,Geranium sp.
1.8199,0.9824,0.45693,0.83089,0.77106,0.0060055,0.006564,1.0,0.00038812,0.040616,Quercus suber
1.2066,0.93945,0.25595,0.52914,0.51693,0.019009,0.065765,0.97895,0.0073471,0.19841,Urtica dioica
1.392,0.89752,0.41362,0.64803,0.50892,0.026737,0.1301,0.96316,0.0078269,0.15033,Betula pubescens
1.5069,0.94518,0.40827,0.73429,0.62558,0.014987,0.040879,1.0,0.0017773,0.092188,Alnus sp.
1.2825,0.85341,0.38769,0.4309,0.46204,0.052403,0.49979,0.96667,0.0091042,0.16198,Betula pubescens
1.1876,0.91247,0.48001,0.5684,0.3885,0.089162,1.4469,0.79474,0.0037888,0.10182,Erodium sp.
2.8114,0.94843,0.64707,0.91861,0.51186,0.045037,0.36915,0.95614,0.0070233,0.13297,Magnolia grandiflora
1.8698,0.97829,0.47287,0.81992,0.65353,0.0074141,0.010004,0.99825,0.004991,0.142,Hydrangea sp.
1.0767,0.77952,0.47053,0.51153,0.28838,0.076992,1.0789,0.90702,0.0099656,0.17213,Populus alba
1.737,0.98956,0.42956,0.8138,0.79117,0.0086131,0.013502,1.0,0.0035528,0.10399,Ilex perado ssp. azorica
1.6027,0.91357,0.44995,0.78823,0.62781,0.060707,0.67072,0.95614,0.025228,0.2522,Arisarum vulgare
1.2065,0.94952,0.32559,0.66307,0.75954,0.013388,0.032621,0.99649,0.0040284,0.097143,Populus nigra
1.2441,0.90049,0.50214,0.62733,0.47758,0.092591,1.5603,0.86667,0.0033696,0.091645,Erodium sp.
6.1273,0.95274,0.84737,0.98643,0.29982,0.019421,0.068643,0.89649,0.0027526,0.095642,Nerium oleander
1.087,0.50961,0.68174,0.39092,0.15361,0.14082,3.6093,0.6614,0.0021177,0.089135,Acer palmatum
1.254,0.98883,0.20587,0.60267,0.80193,0.0084333,0.012944,1.0,0.00091963,0.061786,Ilex perado ssp. azorica
1.2059,0.90378,0.34976,0.47821,0.51298,0.030166,0.16561,0.99649,0.0093049,0.17347,Betula pubescens
2.3499,0.93713,0.60125,0.90037,0.46172,0.03166,0.18242,0.98421,0.0105,0.18081,Celtis sp.
1.2195,0.94433,0.27095,0.4659,0.66599,0.013322,0.032299,1.0,0.0047135,0.10405,Betula pubescens
1.2199,0.90459,0.32967,0.46098,0.56329,0.027061,0.13328,1.0,0.010076,0.18249,Betula pubescens
1.7986,0.87745,0.55606,0.86486,0.52669,0.029555,0.15898,0.97018,0.0031577,0.092866,Ilex aquifolium
2.8218,0.93335,0.66081,0.92876,0.43699,0.046152,0.38767,0.97544,0.0064421,0.13408,Celtis sp.
1.4683,0.9588,0.35457,0.64604,0.70641,0.02021,0.074334,0.99123,0.0037362,0.12721,Bougainvillea sp.
2.06,0.968,0.51569,0.85451,0.60909,0.025453,0.11791,0.98421,0.00051981,0.044948,Buxus sempervirens
2.5213,0.97227,0.61341,0.9136,0.56248,0.0078474,0.011208,1.0,0.0055763,0.14325,Castanea sativa
1.1866,0.73496,0.78745,0.68069,0.14029,0.072447,0.95524,0.6,0.010852,0.18451,Geranium sp.
9.6915,0.88256,0.91233,0.99551,0.17567,0.049695,0.44946,0.93509,0.0015063,0.067649,Podocarpus sp.
2.6668,0.97894,0.63083,0.91996,0.58002,0.010311,0.019349,1.0,0.011205,0.19785,Magnolia soulangeana
2.1139,0.80873,0.69555,0.90944,0.31039,0.047267,0.40663,0.85263,0.0028913,0.10517,Quercus robur
1.3988,0.98301,0.30608,0.67362,0.79998,0.0087621,0.013973,1.0,0.0063197,0.17804,Corylus avellana
1.6215,0.98512,0.39222,0.77982,0.80816,0.0050987,0.0047314,0.99825,0.0024664,0.089686,Quercus suber
2.3863,0.90564,0.59051,0.88965,0.5136,0.048934,0.43581,0.98421,0.013364,0.17454,Primula vulgaris
2.5654,0.98179,0.61185,0.91328,0.60313,0.006726,0.0082335,1.0,0.012245,0.19225,Magnolia soulangeana
2.147,0.98989,0.54028,0.88078,0.71926,0.0031646,0.0018226,1.0,0.0056383,0.12906,Acca sellowiana
1.6637,0.8862,0.49244,0.82602,0.57136,0.022152,0.089306,0.99298,0.0030708,0.1012,Ilex aquifolium
1.2486,0.98704,0.21485,0.58138,0.83511,0.0046582,0.0039492,1.0,0.0036743,0.11304,Euonymus japonicus
1.2341,0.7882,0.44979,0.53622,0.38426,0.072253,0.95013,0.94386,0.0056501,0.12337,Populus alba
1.3891,0.97439,0.29569,0.60555,0.73603,0.010821,0.02131,1.0,0.010017,0.20829,Hydrangea sp.
2.3898,0.84434,0.67175,0.93613,0.37007,0.039277,0.28077,0.90526,0.0037887,0.11955,Quercus robur
1.4266,0.9747,0.29976,0.6368,0.78457,0.013385,0.032608,0.99825,0.0017155,0.084495,Bougainvillea sp.
10.352,0.90652,0.90609,0.99571,0.16732,0.025787,0.12103,0.97895,0.0028882,0.089455,Pseudosasa japonica
10.63,0.88866,0.90598,0.9953,0.15967,0.025636,0.11961,0.95789,0.0012831,0.065416,Pseudosasa japonica
1.2516,0.9802,0.23975,0.55626,0.81411,0.0073087,0.009722,1.0,0.017403,0.17933,Euonymus japonicus
1.0811,0.49042,0.67755,0.36462,0.14118,0.1243,2.8118,0.68772,0.0046475,0.11692,Acer palmatum
1.9723,0.97407,0.51434,0.85897,0.6792,0.0068392,0.0085129,0.99825,0.0073898,0.13848,Castanea sativa
10.377,0.92135,0.90564,0.99512,0.17941,0.016647,0.050433,0.99825,0.0012661,0.071662,Pseudosasa japonica
2.458,0.9861,0.5977,0.90391,0.61429,0.0067013,0.0081731,1.0,0.007219,0.16706,Magnolia grandiflora
2.6184,0.92868,0.63236,0.91093,0.51584,0.021091,0.080956,0.99123,0.0047138,0.12676,Celtis sp.
1.1191,0.50678,0.70988,0.52212,0.1412,0.13192,3.1674,0.64912,0.0021793,0.085964,Acer palmatum
19.038,0.851,0.94834,0.99871,0.086183,0.073048,0.97117,0.90702,0.00075332,0.048089,Pseudosasa japonica
2.6498,0.98493,0.62919,0.91708,0.57926,0.0068053,0.0084289,1.0,0.0085027,0.16877,Magnolia grandiflora
